"V1","nationalGridBmUnit","elexonBmUnit","eic","fuelType","leadPartyName","bmUnitType","fpnFlag","bmUnitName","leadPartyId","demandCapacity","generationCapacity","productionOrConsumptionFlag","transmissionLossFactor","workingDayCreditAssessmentImportCapability","nonWorkingDayCreditAssessmentImportCapability","workingDayCreditAssessmentExportCapability","nonWorkingDayCreditAssessmentExportCapability","creditQualifyingStatus","demandInProductionFlag","gspGroupId","gspGroupName","interconnectorId","capacity_alt","diff_cap","capacity"
1,"ABRBO-1","T_ABRBO-1","48W00000ABRBO-19","WIND","Aberdeen Offshore Wind Farm","T",TRUE,"ABRBO-1","ABERDEEN",-2,99,"P",-0.030134,-0.8,-0.8,39.6,39.6,TRUE,FALSE,NA,NA,NA,95,4,99
2,"ABRTW-1","E_ABRTW-1","48W00000ABRTW-1Z","WIND","Npower Commercial Gas Limited","E",TRUE,"Auchrobert Wind Farm","NPOWER02",-10,36,"C",-0.0088069,-4,-4,14.4,14.4,TRUE,FALSE,"_N","South Scotland",NA,36,0,36
3,"ACHLW-1","C__PSMAR001",NA,"WIND","Smartestenergy Limited","S",TRUE,"C__PSMAR001-AAA-ACH-183","SMARTEST",0,11.282,"C",-0.030134,0,0,3.602,3.602,FALSE,FALSE,"_P","North Scotland",NA,10.25,1.032,11.282
4,"ACHRW-1","T_ACHRW-1","48W00000ACHRW-1O","WIND","Mobius Renewables Gen. (GB2","T",TRUE,"AChruach Wind Farm","AIRGEN2",-2,42.6,"P",-0.030134,-0.8,-0.8,17.04,17.04,TRUE,FALSE,NA,NA,NA,42,0.600000000000001,42.6
5,"AFTOW-1","T_AFTOW-1",NA,"WIND","Afton Wind Farm Limited","T",TRUE,"Afton Wind Farm","AFTON",-2,50,"P",-0.0088069,-0.8,-0.8,20,20,TRUE,FALSE,NA,NA,NA,47,3,50
6,"AG-PSMA01","2__PSMAR001",NA,"WIND","Smartestenergy Limited","S",TRUE,"2__PSMAR001","SMARTEST",-50,50,"C",-0.0242162,-19.935,-19.31,19.935,19.31,FALSE,FALSE,"_P","NORTH of SCOTLAND GSP",NA,NA,NA,50
7,"AIRSW-1","E_AIRSW-1",NA,"WIND","ENGIE Power Limited","E",TRUE,"Airies","RWETDL",0,38,"C",-0.0088069,0,0,15.2,15.2,TRUE,FALSE,"_N","South Scotland",NA,35,3,38
8,"AKGLW-2","T_AKGLW-2","48W00000AKGLW-22","WIND","Aikengall 2 CWCL","T",TRUE,"AIKENGALL II","AIK2CWCL",-1,63.84,"P",-0.0088069,-0.4,-0.4,25.536,25.536,TRUE,FALSE,NA,NA,NA,62,1.84,63.84
9,"AKGLW-3","T_AKGLW-3",NA,"WIND","AIK2A Sustainable Energy Ltd","T",TRUE,"AIKENGALL2A-W","AIK3CWCL",-1,163.4,"P",-0.0088069,-0.4,-0.4,65.36,65.36,TRUE,FALSE,NA,NA,NA,81,82.4,81
10,"ANSUW-1","T_ANSUW-1","48W00000ANSUW-1E","WIND","Statkraft Markets Gmbh","T",TRUE,"An Suidhe 1","STATKRA1",-20,19.36,"P",-0.030134,-8,-8,7.744,7.744,TRUE,FALSE,NA,NA,NA,18,1.36,19.36
11,"ARCHW-1","T_ARCHW-1","48W10000ARCHW-1N","WIND","SP Renewables (UK) Limited","T",TRUE,"Arecleoch","SPCRE01",-3,114,"P",-0.0088069,-1.2,-1.2,45.6,45.6,TRUE,FALSE,NA,NA,NA,100,14,100
12,"ASHWW-1","E_ASHWW-1","48W00000ASHWW-1Z","WIND","Statkraft Markets Gmbh","E",TRUE,"Andershaw Wind Farm","STATKRA1",-1,35,"P",-0.0088069,-0.4,-0.4,14,14,TRUE,FALSE,"_N","South Scotland",NA,36,1,35
13,"ASLVW-1","E_ASLVW-1",NA,"WIND","Npower Commercial Gas Limited","E",TRUE,"Assel Valley Wind Farm","NPOWER02",-6,26,"C",-0.0088069,-2.4,-2.4,10.4,10.4,TRUE,FALSE,"_N","South Scotland",NA,25,1,26
14,"BABAW-1","E_BABAW-1","48W00000BABAW-13","WIND","Statkraft Markets Gmbh","E",TRUE,"Baillie Wind Farm","STATKRA1",-1,52.5,"P",-0.030134,-0.4,-0.4,21,21,TRUE,FALSE,"_P","North Scotland",NA,52,0.5,52.5
15,"BDCHW-1","T_BDCHW-1",NA,"WIND","RWE Generation UK plc","T",TRUE,"Bad a Cheo Wind Farm","INNOGY01",-1,27,"P",-0.030134,-0.4,-0.4,10.8,10.8,TRUE,FALSE,NA,NA,NA,27,0,27
16,"BEATO-1","T_BEATO-1","48W00000BEATO-1T","WIND","Beatrice Offshore Windfarm Ltd","T",TRUE,"Beatrice Offshore WF 1","BOWL001",-4,184,"P",-0.030134,-1.6,-1.6,73.6,73.6,TRUE,FALSE,NA,NA,NA,122,62,122
17,"BEATO-2","T_BEATO-2","48W00000BEATO-2R","WIND","Beatrice Offshore Windfarm Ltd","T",TRUE,"Beatrice Offshore WF 2","BOWL001",-3.8,166,"P",-0.030134,-1.52,-1.52,66.4,66.4,TRUE,FALSE,NA,NA,NA,126,40,126
18,"BEATO-3","T_BEATO-3","48W00000BEATO-3P","WIND","Beatrice Offshore Windfarm Ltd","T",TRUE,"Beatrice Offshore WF 3","BOWL001",-3.458,166,"P",-0.030134,-1.383,-1.383,66.4,66.4,TRUE,FALSE,NA,NA,NA,168,2,166
19,"BEATO-4","T_BEATO-4","48W00000BEATO-4N","WIND","Beatrice Offshore Windfarm Ltd","T",TRUE,"Beatrice Offshore WF 4","BOWL001",-4.8,165.344,"P",-0.030134,-1.92,-1.92,66.138,66.138,TRUE,FALSE,NA,NA,NA,168,2.65600000000001,165.344
20,"BEINW-1","T_BEINW-1","48W00000BEINW-1G","WIND","Beinneun Wind Farm Ltd","T",TRUE,"Beinneun Wind farm","BWF2016",-0.8,108.8,"P",-0.030134,-0.32,-0.32,43.52,43.52,TRUE,FALSE,NA,NA,NA,108.8,0,108.8
21,"BENBW-1","T_BENBW-1",NA,"WIND","Benbrack Wind Farm Limited","T",TRUE,"Benbrack WF","BENBW1",-1,67,"P",-0.0088069,-0.4,-0.4,26.8,26.8,TRUE,FALSE,NA,NA,NA,NA,NA,67
22,"BETHW-1","E_BETHW-1","48W00000BETHW-1H","WIND","SP Renewables (UK) Limited","E",TRUE,"BETHW-1","SPCRE01",-5.7,29.75,"P",-0.030134,-2.28,-2.28,11.9,11.9,TRUE,FALSE,"_P","North Scotland",NA,30,0.25,29.75
23,"BHLAW-1","T_BHLAW-1","48W00000BHLAW-15","WIND","SSE Generation Ltd","T",TRUE,"Bhlaraidh Windfarm 1","SSEGEN",-2,108,"P",-0.030134,-0.8,-0.8,43.2,43.2,TRUE,FALSE,NA,NA,NA,108,0,108
24,"BLARW-1","E_BLARW-1",NA,"WIND","Erova Energy Limited","E",TRUE,"E_BLARW-1","EROVAIRL",0,35,"C",-0.030134,0,0,14,14,TRUE,FALSE,"_P","North Scotland",NA,35,0,35
25,"BLKWW-1","T_BLKWW-1","48W00000BLKWW-1L","WIND","Blackcraig Wind Farm Limited","T",TRUE,"Blackcraig Windfarm","BLK2017",-0.8,54.688,"P",-0.0088069,-0.32,-0.32,21.875,21.875,TRUE,FALSE,NA,NA,NA,54,0.688000000000002,54.688
26,"BLLA-1","T_BLLA-1","48W000000BLLA-1K","WIND","SP Renewables (UK) Limited","T",TRUE,"T_BLLA-1","SPCRE01",-3,118,"P",-0.0088069,-1.2,-1.2,47.2,47.2,TRUE,FALSE,NA,NA,NA,124,6,118
27,"BLLA-2","T_BLLA-2","48W000000BLLA-2I","WIND","SP Renewables (UK) Limited","T",TRUE,"Black Law Windfarm Extension","SPCRE01",-2.5,69,"P",-0.0088069,-1,-1,27.6,27.6,TRUE,FALSE,NA,NA,NA,55,14,55
28,"BNWKW-1","E_BNWKW-1","48W00000BNWKW-1W","WIND","Eneco Energy Trade","E",TRUE,"Burn of Whilk Windfarm","ENECOUK",-0.1,22.5,"P",-0.030134,-0.04,-0.04,9,9,TRUE,FALSE,"_P","North Scotland",NA,23,0.5,22.5
29,"BOWLW-1","T_BOWLW-1","48W00000BOWLW-1K","WIND","Barrow Offshore Wind Limited","T",TRUE,"Barrow Offshore Wind","DONG009",-2,90,"P",-0.0048159,-0.8,-0.8,36,36,TRUE,FALSE,NA,NA,NA,90,0,90
30,"BRBEO-1","T_BRBEO-1","48W00000BRBEO-17","WIND","Burbo Extension Limited","T",TRUE,"BURBO_EXTENSION","DONG010",-5,257.7,"P",0.0013166,-2,-2,103.08,103.08,TRUE,FALSE,NA,NA,NA,254,3.69999999999999,257.7
